"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Prescription","Prescription","","","",0,*,"","","","null {[]} {[]}
","A - Prescription","Prescription. Several Sections of the eHN guideline.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"Prescription.patient","Prescription.patient","","","",0,*,"","","","http://hl7.eu/fhir/mpd/StructureDefinition/Subject {[]} {[]}
","A.1.1 Patient administrative data","Patient administrative data","","","","","","","","","",,,,,"",,,,"Prescription.patient",0,*,"",""
"Prescription.authentication","Prescription.authentication","","","",0,*,"","","","Base {[]} {[]}
","A.1.2 Authentication of the prescription","Authentication of the prescription","","","","","","","","","",,,,,"",,,,"Prescription.authentication",0,*,"",""
"Prescription.authentication.identifier","Prescription.authentication.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","A.1.2.1 Identifier of the Prescription","A unique string generated by an EPS (Electronic Prescribing System) to 
uniquely identify a prescription; this unique code is needed for traceability. 
It might be used to register whether a prescription, and/or the maximum 
number of repeats, has already been dispensed. The identifier can consist of 
a root and an extension [ISO 21090:2011].","","","","","","","","","",,,,,"",,,,"Prescription.authentication.identifier",0,*,"",""
"Prescription.authentication.issueDate","Prescription.authentication.issueDate","","","",0,*,"","","","dateTime {[]} {[]}
","A.1.2.2 Issue date","The date and optionally the time the prescription was issued.","","","","","","","","","",,,,,"",,,,"Prescription.authentication.issueDate",0,*,"",""
"Prescription.prescriber","Prescription.prescriber","","","",0,1,"","","","Base {[]} {[]}
","A.1.3 Identification of the prescribing health professional","Identification of the prescribing health professional","","","","","","","","","",,,,,"",,,,"Prescription.prescriber",0,1,"",""
"Prescription.prescriber.familyName","Prescription.prescriber.familyName","","","",0,*,"","","","string {[]} {[]}
","A.1.3.1 Familyname","The family name/surname/last name of the prescriber. This enables the prescriber to be traced in the event of questions or emergencies.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.familyName",0,*,"",""
"Prescription.prescriber.givenName","Prescription.prescriber.givenName","","","",0,*,"","","","string {[]} {[]}
","A.1.3.2 Given name","The given name/ first name of the prescriber. This enables the prescriber to be traced in the event of questions or emergencies.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.givenName",0,*,"",""
"Prescription.prescriber.qualification","Prescription.prescriber.qualification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","A.1.3.3 Professional qualifications","The professional title of the prescribing health professional, which may be used to prove the authority of the prescriber.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.qualification",0,*,"",""
"Prescription.prescriber.contact","Prescription.prescriber.contact","","","",0,*,"","","","ContactPoint {[]} {[]}
","A.1.3.4 Details for direct contact","Details for direct contact could be an email address and/or phone/fax number of the prescriber in order for the dispenser and/or patient to contact  the prescriber. This might be necessary if problems arise with dosage, allergies, reimbursement etc.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.contact",0,*,"",""
"Prescription.prescriber.workAddress","Prescription.prescriber.workAddress","","","",0,*,"","","","Address {[]} {[]}
","A.1.3.5 Work address","This is the address of the hospital or the practice, etc. where the health professional normally works, meets patients and prescribes medication. Minimally, the country should be specified.","","","","","","","","","",,,,,"",,,,"Prescription.prescriber.workAddress",0,*,"",""
