Hl7EuMedPrescriptionDispenseIg
=========================================

Generic: line 0, col 0, Error - There is no jira specification file defined with the expected name of FHIR-eu-mpd in the xml folder of the  https://github.com/HL7/Jira-Spec-Artifacts project.  This must exist before ballot or publication. (INFORMATIONAL)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 272, col 59, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 283, col 55, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 292, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 321, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 346, col 59, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 366, col 55, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 375, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.mpd.json: line 1, col 2244, Error - The URL should refer directly to the ImplementationGuide resource (e.g. include '/ImplementationGuide/') (BUSINESSRULE)
/github/workspace/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.mpd.json: line 1, col 2523, Error - The URL should refer directly to the ImplementationGuide resource (e.g. include '/ImplementationGuide/') (BUSINESSRULE)
/github/workspace/fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json: line 27, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json: line 54, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 32, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 49, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 58, col 47, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 87, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 32, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
