Hl7EuMedPrescriptionDispenseIg
=========================================

Generic: line 0, col 0, Error - There is no jira specification file defined with the expected name of FHIR-eu-mpd-r5 in the xml folder of the  https://github.com/HL7/Jira-Spec-Artifacts project.  This must exist before ballot or publication. (INFORMATIONAL)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 280, col 59, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 291, col 55, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 299, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 326, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 351, col 59, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 371, col 55, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json: line 379, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.mpd-r5.json: line 1, col 2593, Error - The URL should refer directly to the ImplementationGuide resource (e.g. include '/ImplementationGuide/') (BUSINESSRULE)
/github/workspace/fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json: line 27, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json: line 56, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 32, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 49, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 57, col 45, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json: line 84, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 32, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 93, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 101, col 45, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json: line 65, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json: line 34, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json: line 60, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json: line 16, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json: line 36, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json: line 44, col 45, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 16, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 27, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 35, col 45, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json: line 62, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json: line 41, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json: line 58, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json: line 66, col 45, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 41, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 55, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 78, col 57, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 104, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 112, col 45, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-04A-FirmagonBranded.json: line 139, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 33, col 53, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 135, col 49, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 66, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/Medication-05A-Tilidin-Branded.json: line 108, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/MedicationRequest-400C-prescription-cefuroxime-singleline.json: line 104, col 12, Info - This element does not match any known slice defined in the profile http://hl7.eu/fhir/mpd-r5/StructureDefinition/MedicationRequest-eu-mpd|0.1.0-ballot (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/github/workspace/fsh-generated/resources/MedicationRequest-400C-prescription-cefuroxime-singleline.json: line 22, col 51, Warning - No definition could be found for URL value 'http://standardterms.edqm.eu' (INVALID)
/github/workspace/fsh-generated/resources/MedicationRequest-400C-prescription-cefuroxime-singleline.json: line 104, col 12, Info - This element does not match any known slice defined in the profile https://profiles.ihe.net/PHARM/MPD/StructureDefinition/IHEMedicationOrder|1.0.0-comment-2 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/github/workspace/fsh-generated/resources/StructureDefinition-MedicationDispense-eu-mpd.json: line 1, col 64997, Info - The string value contains text that looks like embedded HTML tags. If this content is rendered to HTML without appropriate post-processing, it may be a security risk (INVALID)

err = 2, warn = 40, info = 3
IG Publisher Version: 2.0.3
