Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.eu.r5.mpd.json	24325	-	0	0	0	0	0	0	5	116	0	0	0	1	0	0	0	1	0	0	82	132	0	0	0	4	0	1
fsh-generated/resources/Bundle-100A-multiitem-prescription-with-orchestration.json	9858	33	0	0	0	0	0	0	1	2747	0	0	0	0	0	0	0	0	0	0	40	73	0	0	0	0	0	0
fsh-generated/resources/Bundle-200A-multiitem-prescription-without-orchestration.json	3918	14	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-300A-multiitem-prescription-with-orchestration.json	11328	18	0	0	0	0	0	0	2	7380	0	0	0	0	0	0	0	0	0	0	46	66	0	0	0	0	0	1
fsh-generated/resources/ConceptMap-eD2FHIR-eu-mpd.json	6284	16	0	0	0	0	0	0	0	2205	0	0	0	0	0	0	0	1	0	0	33	550	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-eP2FHIR-eu-mpd.json	9833	13	0	0	1	0	0	0	1	2163	0	0	0	0	0	0	0	0	0	0	29	109	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-medProd2FHIR-eu-mpd.json	6173	10	0	0	0	0	0	0	0	2169	0	0	0	0	0	0	0	0	0	0	24	73	0	0	0	1	0	0
fsh-generated/resources/Medication-01A-Cefuroxime1500GenericExplicit.json	1413	9	0	0	0	0	0	0	0	1194	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Medication-01B-Cefuroxime1500GenericConcept.json	420	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Medication-01C-Cefuroxime1500Branded.json	2714	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Medication-01D-Cefuroxime750Branded.json	2686	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/Medication-02A-ClotrimazoleCanifugCremolum.json	1909	9	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Medication-02A1-CanifugCremolumCreamItem.json	1768	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Medication-02A2-CanifugCremolumPessaryItem.json	1516	8	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/Medication-03B-VitaminBComplexBranded.json	4356	10	0	0	0	0	0	0	0	2372	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/Medication-04A-FirmagonBranded.json	4182	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Medication-05A-Tilidin-Branded.json	3780	9	0	0	0	0	0	0	1	1184	0	0	0	0	0	0	0	0	0	0	17	13	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-300D-dispense-for-2-requests.json	876	10	0	0	0	0	0	0	0	1181	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-400D-dispense-1.json	968	8	0	0	0	0	0	0	0	1181	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-400D-dispense-2.json	956	8	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-400E-refused-dispense.json	832	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100C-3-medication-prescription-request1.json	1883	10	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100C-3-medication-prescription-request2.json	1821	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	26	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-100C-3-medication-prescription-request3.json	1823	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-200C-2-medication-prescription-request1.json	1872	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-200C-2-medication-prescription-request2.json	1826	9	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
